symbol,year,month,quarter,open,high,low,close,percent_change,volume,trading_days,avg_daily_volume,up_days,down_days,unchanged_days,range,volatility,avg_true_range,avg_daily_range,highest_day,lowest_day,high_to_ltp_pct,low_to_ltp_pct
PARADEEP,2026,6,,126.0,140.4,120.49,136.03,7.9603174603174605,82111000.0,21,3910047.619047619,13,7,0,19.91000000000001,0.15300420467894044,4.299523809523807,4.170476190476189,2026-06-22T00:00:00+05:30,2026-06-11T00:00:00+05:30,-0.6451612903225847,13.627240143369178
ARFIN,2026,6,,93.5,101.9,80.0,85.8,-8.235294117647062,55262937.0,21,2631568.4285714286,10,10,0,21.900000000000006,0.24238048307447446,4.82809523809524,4.712380952380954,2026-06-18T00:00:00+05:30,2026-06-11T00:00:00+05:30,-12.249394139678348,11.874862304472352
MANINFRA,2026,6,,116.0,120.95,102.75,104.18,-10.189655172413788,49537699.0,21,2358938.0476190476,8,12,0,18.200000000000003,0.1656086834066339,4.727619047619048,4.716666666666667,2026-06-03T00:00:00+05:30,2026-06-29T00:00:00+05:30,-19.150822579056246,-1.2215545266476158
IKIO,2026,6,,151.21,166.5,147.1,151.85,0.4232524303948061,1426448.0,21,67926.09523809524,9,11,0,19.400000000000006,0.12382564716681212,6.00428571428572,5.77619047619048,2026-06-15T00:00:00+05:30,2026-06-01T00:00:00+05:30,12.78156102671556,22.943949711891047
VAML,2026,6,,522.0,537.0,425.0,448.46,-14.08812260536399,264334772.0,11,24030433.818181816,4,6,0,112.0,0.24253018831524203,28.857272727272722,25.855454545454542,2026-06-15T00:00:00+05:30,2026-06-29T00:00:00+05:30,-20.864280891289667,4.343911771325684
ABFRL,2026,6,,65.15,65.66,57.88,58.06,-10.88257866462011,78647466.0,21,3745117.4285714286,7,13,0,7.779999999999994,0.12887907233572607,1.8609523809523816,1.8114285714285718,2026-06-01T00:00:00+05:30,2026-06-30T00:00:00+05:30,-10.075440067057833,2.9673093042749303
BHARATCOAL,2026,6,,41.5,44.4,36.4,39.33,-5.228915662650606,1007433526.0,21,47973025.047619045,10,10,0,8.0,0.20108923334729784,2.133809523809524,2.0933333333333333,2026-06-18T00:00:00+05:30,2026-06-11T00:00:00+05:30,-17.30515191545574,3.830911492734486
NESTLEIND,2026,6,,1424.5,1454.9,1368.1,1405.2,-1.3548613548613517,37895731.0,21,1804558.619047619,10,10,0,86.80000000000018,0.06208954410442284,32.233333333333384,32.138095238095275,2026-06-10T00:00:00+05:30,2026-06-02T00:00:00+05:30,0.7571623465211398,6.678035470668492
HDFCGOLD,2026,6,,133.63,137.09,117.32,119.76,-10.37940582204594,92644629.0,21,4411649.0,8,12,0,19.77000000000001,0.15627693732284892,3.198571428571428,2.5809523809523798,2026-06-02T00:00:00+05:30,2026-06-30T00:00:00+05:30,-11.70958279009127,4.400260756192964
360ONE,2026,6,,1108.0,1165.1,1031.3,1074.6,-3.0144404332130046,21729575.0,21,1034741.6666666666,11,9,0,133.79999999999995,0.1220458247366706,32.58571428571432,31.590476190476206,2026-06-16T00:00:00+05:30,2026-06-11T00:00:00+05:30,,
