symbol,year,month,quarter,open,high,low,close,percent_change,volume,trading_days,avg_daily_volume,up_days,down_days,unchanged_days,range,volatility,avg_true_range,avg_daily_range,highest_day,lowest_day,vpoc,vah,val,high_to_ltp_pct,low_to_ltp_pct
PCBL,2026,6,,289.9,327.5,275.7,321.15,10.77957916522939,29914524.0,21,1424501.142857143,14,6,0,51.80000000000001,0.17270641655619157,10.699999999999992,9.871428571428563,2026-06-30T00:00:00+05:30,2026-06-11T00:00:00+05:30,313.255,323.874,295.902,-7.712547278408152,9.324124321657628
HAL,2026,6,,4303.8,4535.0,4148.8,4381.2,1.7984107068172228,18501040.0,21,881001.9047619047,9,11,0,386.1999999999998,0.08952861202060318,107.83333333333324,105.9857142857142,2026-06-23T00:00:00+05:30,2026-06-08T00:00:00+05:30,4270.4529999999995,4403.692,4175.834,-3.5648222156249374,5.254744342186382
BIOCON,2026,6,,431.2,435.0,405.8,418.3,-2.991651205936915,67811439.0,21,3229116.1428571427,10,10,0,29.19999999999999,0.07010603938605767,9.876190476190475,9.84047619047619,2026-06-01T00:00:00+05:30,2026-06-08T00:00:00+05:30,414.414,423.028,411.056,-7.793334159335891,-0.557551728410358
DMART,2026,6,,4074.9,4429.4,3955.0,4380.7,7.50447863751257,10938345.0,21,520873.5714285714,12,8,0,474.39999999999964,0.11316639631411776,105.33809523809525,102.51428571428572,2026-06-24T00:00:00+05:30,2026-06-12T00:00:00+05:30,4303.683999999999,4386.704,4111.552,-8.57969309212138,3.0494680590282908
DIVISLAB,2026,6,,6690.0,6887.5,6450.5,6579.0,-1.6591928251121077,7388169.0,21,351817.5714285714,10,10,0,437.0,0.06568089263603896,136.5952380952381,135.85714285714286,2026-06-23T00:00:00+05:30,2026-06-02T00:00:00+05:30,6636.225,6765.14,6564.12,-1.0934977249376192,5.320710406575664
DRREDDY,2026,6,,1310.1,1414.9,1248.4,1357.1,3.5875124036333106,37182774.0,21,1770608.2857142857,11,9,0,166.5,0.12897787844024006,27.06666666666668,25.861904761904768,2026-06-29T00:00:00+05:30,2026-06-04T00:00:00+05:30,1270.8775,1356.625,1256.7250000000001,-11.453328081922024,1.6620716817644672
MOTHERSON,2026,6,,146.01,155.25,138.03,148.11,1.4382576535853866,499811663.0,21,23800555.38095238,9,11,0,17.22,0.11875784067099722,4.562857142857145,4.263333333333336,2026-06-25T00:00:00+05:30,2026-06-08T00:00:00+05:30,143.9709,149.0508,141.1296,-8.718487394957975,3.3403361344537883
SKYGOLD,2026,6,,530.0,590.0,485.5,532.55,0.48113207547168957,30505125.0,21,1452625.0,9,11,0,104.5,0.20089163111737673,27.154761904761898,26.33095238095238,2026-06-04T00:00:00+05:30,2026-06-23T00:00:00+05:30,505.8775,536.705,488.635,5.34253168618642,22.108134124819504
POWERINDIA,2026,6,,38700.0,38785.0,33010.0,34920.0,-9.767441860465116,3712345.0,21,176778.33333333334,11,9,0,5775.0,0.16393941237301538,1394.7619047619048,1319.2857142857142,2026-06-01T00:00:00+05:30,2026-06-11T00:00:00+05:30,34829.125,36359.5,33703.0,-18.935909230297455,-1.226617601962588
VIKRAMSOLR,2026,6,,202.73,221.9,177.35,179.66,-11.379667538104865,71103419.0,21,3385877.095238095,9,11,0,44.55000000000001,0.22012526823024514,9.388095238095238,9.268571428571429,2026-06-10T00:00:00+05:30,2026-06-30T00:00:00+05:30,209.64875,217.8905,198.734,-14.81941426058161,8.232432991824485
